group_id,report_id,split,quality_tier,report_sha256,assessed_weight,human_score
real-paper-03-differt2d,real-paper-03-differt2d-high,validation,high,FD88AE9DB6102155778B731F34657921F9F4267B00B960823B7920502DE5D013,1,100
real-paper-03-differt2d,real-paper-03-differt2d-low,validation,low,104B246D878E940C11030190819541E4F959880CAF683610AAB4B065E2A11BDA,1,21.5
real-paper-03-differt2d,real-paper-03-differt2d-medium,validation,medium,44DED7E992B2640D11C4943F1C065FF368D1A662EA09799F04567E48933CE490,1,55
real-paper-04-lyceanem,real-paper-04-lyceanem-high,validation,high,40E563F76751C58FB52500BF1E1B1FB3B3568670E843ECB1F134432B649F1D82,1,100
real-paper-04-lyceanem,real-paper-04-lyceanem-low,validation,low,6DEA96EBE5B76C0C49F7072F03389E8E436887B28710366A6D2024C3D43FFC9B,1,21.5
real-paper-04-lyceanem,real-paper-04-lyceanem-medium,validation,medium,E0DCD27E8C73DD6559EA09098C463A88CF000EF6432DE87D8C3A86A595E01B35,1,55
real-paper-05-itmlogic,real-paper-05-itmlogic-high,test,high,8ED30705836E502E2E53559C62C9440E1B97F35A499869D55E5A52AFDDEF06C0,1,100
real-paper-05-itmlogic,real-paper-05-itmlogic-low,test,low,568347856CCE082C631745A4350D1FAF4C5CF45285898041FB26078EB6904BF5,1,21.5
real-paper-05-itmlogic,real-paper-05-itmlogic-medium,test,medium,1D1E4BED194B91CF3A16B5CC9A8255D945B7DEA5B35D9D817EDE66FC16E2D9E9,1,55
real-paper-06-cdcam,real-paper-06-cdcam-high,test,high,4F78EEE82A90601A606F54016295B44D2056B45C645D89C87581B510674E2C43,1,100
real-paper-06-cdcam,real-paper-06-cdcam-low,test,low,A08A8EC8CBCFC6AC6320F4933B2974C2C78194E20E79DFCBF6D23C70067D8263,1,21.5
real-paper-06-cdcam,real-paper-06-cdcam-medium,test,medium,BB171F1952AD0BE1F99F2C2DB66A9C756FE05884CC60F9DE3FE1A3BF1F66931D,1,55
